year,team_name,total_market_value_millions,average_market_value_millions,number_of_players
2020,Manchester City,1044.5,29.01,36
2020,Manchester United,770.05,19.74,39
2020,Newcastle,255.35,7.74,33
2020,Norwich City,182.4,4.15,44
2020,Nottingham Forest,55.45,1.46,38
2020,Sheffield United,149.85,3.75,40
2020,Southampton,282.8,7.25,39
2020,Tottenham,703.5,17.16,41
2020,Watford,113.3,2.52,45
2020,West Bromwich,141.15,3.28,43
2020,West Ham,334.9,8.59,39
2020,Wolverhampton,450.3,11.85,38
2021,Arsenal,613.05,14.95,41
2021,Aston Villa,487.75,11.09,44
2021,Bournemouth,180.4,4.63,39
2021,Brentford,273.3,7.19,38
2021,Brighton,318.0,7.4,43
2021,Burnley,137.85,3.94,35
2021,Chelsea,914.5,20.78,44
2021,Crystal Palace,271.05,8.21,33
2021,Everton,479.05,11.41,42
2021,Fulham,188.9,4.97,38
2021,Liverpool,918.9,18.75,49
2021,Leeds United,299.45,8.56,35
2021,Leicester City,526.55,13.16,40
2021,Luton Town,30.25,0.8,38
2021,Manchester City,1003.7,25.74,39
2021,Manchester United,769.15,17.89,43
2021,Newcastle,313.9,9.23,34
2021,Norwich City,163.2,3.63,45
2021,Nottingham Forest,82.95,2.02,41
2021,Sheffield United,136.4,3.1,44
2021,Southampton,274.3,8.31,33
2021,Tottenham,689.35,15.32,45
2021,Watford,156.2,3.32,47
2021,West Bromwich,87.4,2.19,40
2021,West Ham,354.9,9.59,37
2021,Wolverhampton,376.95,9.92,38
2022,Arsenal,1000.7,23.83,42
2022,Aston Villa,509.55,11.85,43
2022,Bournemouth,287.2,6.11,47
2022,Brentford,371.2,10.31,36
2022,Brighton,529.8,12.61,42
2022,Burnley,193.35,4.96,39
2022,Chelsea,994.95,23.14,43
2022,Crystal Palace,323.05,8.28,39
2022,Everton,413.15,10.33,40
2022,Fulham,295.1,6.28,47
2022,Liverpool,811.85,20.82,39
2022,Leeds United,345.15,7.34,47
2022,Leicester City,490.7,12.91,38
2022,Luton Town,46.83,1.06,44
2022,Manchester City,1145.95,33.7,34
2022,Manchester United,847.75,17.66,48
2022,Newcastle,541.6,14.25,38
2022,Norwich City,126.55,3.42,37
2022,Nottingham Forest,376.25,7.53,50
2022,Sheffield United,118.55,3.2,37
2022,Southampton,419.95,9.13,46
2022,Tottenham,649.1,19.09,34
2022,Watford,155.4,3.11,50
2022,West Bromwich,69.35,1.73,40
2022,West Ham,465.6,10.58,44
2022,Wolverhampton,497.65,11.57,43
2023,Arsenal,1203.05,30.08,40
2023,Aston Villa,709.65,15.77,45
2023,Bournemouth,401.75,9.57,42
2023,Brentford,428.77,10.21,42
2023,Brighton,524.4,10.7,49
2023,Burnley,273.48,7.01,39
2023,Chelsea,1013.65,18.1,56
2023,Crystal Palace,446.57,11.16,40
2023,Everton,391.75,11.52,34
2023,Fulham,384.35,10.98,35
2023,Liverpool,955.65,21.24,45
2023,Leeds United,244.5,6.27,39
2023,Leicester City,242.85,6.56,37
2023,Luton Town,140.9,3.06,46
2023,Manchester City,1462.5,40.62,36
2023,Manchester United,808.35,17.57,46
2023,Newcastle,652.25,14.49,45
2023,Norwich City,94.12,2.3,41
2023,Nottingham Forest,501.35,10.9,46
2023,Sheffield United,152.35,3.39,45
2023,Southampton,332.48,8.11,41
2023,Tottenham,838.5,20.45,41
2023,Watford,72.6,2.02,36
2023,West Bromwich,64.85,1.44,45
2023,West Ham,487.5,13.54,36
2023,Wolverhampton,442.73,9.42,47
2024,Arsenal,1158.45,27.58,42
2024,Aston Villa,680.55,16.6,41
2024,Bournemouth,518.6,13.3,39
2024,Brentford,427.85,11.26,38
2024,Brighton,667.58,13.62,49
2024,Burnley,293.18,5.33,55
2024,Chelsea,1193.95,20.59,58
2024,Crystal Palace,526.85,13.17,40
2024,Everton,363.23,9.31,39
2024,Fulham,362.35,12.94,28
2024,Liverpool,950.95,27.17,35
2024,Leeds United,247.05,8.24,30
2024,Leicester City,253.35,6.33,40
2024,Luton Town,86.85,1.93,45
2024,Manchester City,1358.0,30.86,44
2024,Manchester United,825.0,16.84,49
2024,Newcastle,677.52,18.82,36
2024,Norwich City,151.0,3.21,47
2024,Nottingham Forest,481.3,14.58,33
2024,Sheffield United,176.7,4.11,43
2024,Southampton,310.05,7.38,42
2024,Tottenham,777.3,18.96,41
2024,Watford,68.33,1.75,39
2024,West Bromwich,88.67,1.93,46
2024,West Ham,400.7,13.82,29
2024,Wolverhampton,433.05,9.84,44
2025,Arsenal,1314.0,52.56,25
2025,Aston Villa,546.0,23.74,23
2025,Bournemouth,448.1,17.92,25
2025,Brentford,434.9,14.03,31
2025,Brighton,520.6,20.02,26
2025,Burnley,247.15,7.72,32
2025,Chelsea,1136.5,36.66,31
2025,Crystal Palace,484.52,16.15,30
2025,Everton,414.6,17.28,24
2025,Fulham,374.0,15.58,24
2025,Liverpool,1154.2,44.39,26
2025,Leeds United,316.3,12.17,26
2025,Leicester City,168.75,6.25,27
2025,Luton Town,38.15,1.27,30
2025,Manchester City,1212.6,46.64,26
2025,Manchester United,730.2,28.08,26
2025,Newcastle,751.83,25.93,29
2025,Norwich City,103.2,3.44,30
2025,Nottingham Forest,644.7,23.03,28
2025,Sheffield United,133.68,3.82,35
2025,Southampton,189.3,6.76,28
2025,Tottenham,920.6,31.74,29
2025,Watford,57.85,2.07,28
2025,West Bromwich,81.25,3.69,22
2025,West Ham,400.8,15.42,26
2025,Wolverhampton,376.6,14.48,26
